time,blocknumber,event,price,ETH_Pool,STETH_Pool,Volume
2021-03-21,12084895,RemoveLiquidityOne,0.9748290193346808,88774.99054723856,114532.78610867533,1861.6825513554563
2021-03-22,12091591,AddLiquidity,0.9641439116243674,77344.28500758596,114447.2198364699,7606.681940572397
2021-03-23,12097989,TokenExchange,0.9645055649921392,78634.83146054078,114387.45457173516,984.3858415952272
2021-03-24,12104388,RemoveLiquidityOne,0.961936200594136,76005.56084344315,112708.78373457748,9141.652999278635
2021-03-25,12111154,RemoveLiquidity,0.9650372143019276,77816.17560164238,112615.63775632698,630.4978130657686
2021-03-26,12117775,RemoveLiquidityOne,0.9695789349075797,81736.46898978323,112307.77065163743,2632.7362690044743
2021-03-27,12124030,TokenExchange,0.9701647862721532,81628.01752003071,112145.40200263882,1227.1029968204862
2021-03-28,12130754,AddLiquidity,0.9729826093160645,85991.99250174628,113768.54331413117,2838.227696312485
2021-03-29,12137146,TokenExchange,0.98085235593524,93081.53882533687,114290.13406064209,2834.548686551425
2021-03-30,12143754,AddLiquidity,0.979766437273913,92396.31850146608,115756.48871644316,1726.8150927232382
2021-03-31,12150104,RemoveLiquidity,0.98386476438252,96791.9735426956,116032.28837124696,1982.7470387938058
2021-04-01,12156579,AddLiquidity,0.9848754457861202,101291.2450175348,118307.32642973046,2448.5655384993156
2021-04-02,12163166,AddLiquidity,0.9826585889263024,99239.09367761074,118739.76236134616,2030.2343413285087
2021-04-03,12169698,AddLiquidity,0.9865732179903778,103828.10643277976,118827.11972072133,2070.8706400888136
2021-04-04,12176240,AddLiquidity,0.9924179018063803,108549.4093795664,119308.03535421524,2128.686728368481
2021-04-05,12182727,AddLiquidity,0.9961585893401697,117562.48862615784,122157.78928787446,7891.40554209409
2021-04-06,12189160,RemoveLiquidityOne,0.9972063835480932,117744.39414467986,122800.01200661418,1359.7193152672921
2021-04-07,12195810,RemoveLiquidityOne,0.9901130377390652,119591.30945581,134803.7378513606,8803.697991609595
2021-04-08,12202279,AddLiquidity,0.9896375364168244,120838.61144630624,134910.46137599027,3479.5563844764697
2021-04-09,12208710,TokenExchange,0.9966494618219046,130704.42661132144,134995.88306246718,5945.264044887072
2021-04-10,12215277,RemoveLiquidityOne,0.9936431001862982,148492.3785083701,157361.92868338653,10357.598852381385
2021-04-11,12221858,AddLiquidity,0.9936134535027832,148631.7883655862,157727.52531496898,3249.3706942312856
2021-04-12,12228353,RemoveLiquidityImbalance,0.999538231207933,174148.15119957348,174185.83690522987,14762.363832551402
2021-04-13,12234835,RemoveLiquidityOne,0.9975223307431365,177109.9332461597,180009.3443218314,5960.345436441942
2021-04-14,12241268,RemoveLiquidityOne,0.9954484271731777,173400.3246517337,180281.63656740516,2358.423137634319
2021-04-15,12247761,RemoveLiquidityOne,0.9894783487999388,162438.3253385741,180410.4254050203,5457.083341838811
2021-04-16,12254130,RemoveLiquidityImbalance,0.989177853437515,161162.09186519118,180471.32097933715,507.93399823780646
2021-04-17,12260546,AddLiquidity,0.9885938107888285,161060.1161874534,180528.20602860252,297.49513118976733
2021-04-18,12266988,TokenExchange,0.9905027685028216,163445.4024218028,180668.66316472605,2776.8750848247532
2021-04-19,12273002,RemoveLiquidityImbalance,0.9905142707803904,163325.65328009223,180740.7570642337,533.2642234668425
2021-04-20,12280142,RemoveLiquidityOne,0.9886178132553598,161224.65211820774,180584.2801106338,1805.4617750676775
2021-04-21,12286393,AddLiquidity,0.9966939791181026,176703.22033889664,181248.20079669703,1937.3795970020456
2021-04-22,12293113,AddLiquidity,0.9921175418751679,168888.0596984611,182174.06994677265,4888.486778942531
2021-04-23,12299559,TokenExchange,0.9886260649108491,161514.18314907336,182255.78276681888,4816.3007390472185
2021-04-24,12305873,RemoveLiquidityOne,0.9907946125925317,162665.46263053856,182404.37149055785,4212.783005266524
2021-04-25,12312472,AddLiquidity,0.9891229274482175,163528.8305991568,182280.5963236168,3054.377873206765
2021-04-26,12319044,TokenExchange,0.989425066556866,161681.8022940361,182442.6949007151,2568.7957906948172
2021-04-27,12325469,TokenExchange,0.9889909449336334,161341.89111396475,182494.3426998965,995.9500915465063
2021-04-28,12331981,AddLiquidity,0.9888437556944955,161528.8810467786,184617.9252019019,3450.741336767968
2021-04-29,12338488,AddLiquidity,0.993131834793288,170824.71592038724,185048.279062257,6714.945866774302
2021-04-30,12344866,TokenExchange,0.9981615902257314,180360.66415058455,184858.40843575052,3489.5581080348256
2021-05-01,12351402,AddLiquidity,0.9979775110066562,182283.36271183225,185350.911284,2498.8064355678825
2021-05-02,12357821,AddLiquidity,0.993376998822305,173381.62169818292,185689.0144998072,7499.1412379545745
2021-05-03,12364337,AddLiquidity,0.9903297300913727,171734.6571761303,185886.6058183089,19511.47000346559
2021-05-04,12370764,TokenExchange,0.9965853247745662,180464.93228164405,186575.6944179939,1798.0284545655356
2021-05-05,12377332,AddLiquidity,0.9995144277341756,199844.87992012472,198714.42040782364,4973.193779868101
2021-05-06,12383793,TokenExchange,1.0007971270532765,201391.67826860322,200564.20351315555,1874.26373448247
2021-05-07,12390293,AddLiquidity,1.0008724121985693,255364.72680669616,254666.83047454,10042.094252493353
2021-05-08,12396650,TokenExchange,0.9999923140762608,274094.6128096067,272908.8341583191,3836.634254536869
2021-05-09,12403211,RemoveLiquidityOne,0.9983730349944727,276833.21901952894,278750.9789195561,2546.1427630347544
2021-05-10,12409427,AddLiquidity,0.9974364435587152,274900.11664146,280216.5824604662,5024.393340413532
2021-05-11,12416112,AddLiquidity,0.9988820986934566,275879.9255729459,280335.8219635346,3795.0642932857386
2021-05-12,12422630,TokenExchange,0.9993114665592064,265515.538639611,266266.87158060103,3353.186866846642
2021-05-13,12429105,AddLiquidity,0.9991342454059549,282472.11996952066,282039.6211047557,11552.08311128872
2021-05-14,12435661,TokenExchange,1.0000844742294883,286081.3928435344,283506.9347372926,12875.931693322646
2021-05-15,12442132,RemoveLiquidityOne,0.9996198763667505,286934.24258880666,284981.595160293,1746.4887862232513
2021-05-16,12448606,AddLiquidity,0.9964677599487578,277916.51269949134,285781.9307489163,11710.540475462074
2021-05-17,12454993,RemoveLiquidityOne,0.9979184959044749,283623.20095473924,287017.54734281945,17602.11443968954
2021-05-18,12461457,AddLiquidity,0.9971844146491566,284270.0387507871,289441.3371287581,6492.976543169146
2021-05-19,12467850,TokenExchange,0.9977542402399222,265224.31295604014,290219.5603901866,20697.347008108245
2021-05-20,12474331,RemoveLiquidityOne,0.9975338740881559,269485.2094367562,290300.138842898,6932.193399322433
2021-05-21,12480761,AddLiquidity,0.9984769083640052,283941.1145949997,291421.80995671445,8571.437881868795
2021-05-22,12487155,AddLiquidity,0.998448978401397,332991.26576535136,342486.9306120456,4815.391930040926
2021-05-23,12493699,RemoveLiquidityOne,0.9955445027125823,261359.4998966712,342625.947411218,46745.93279918099
2021-05-24,12500056,TokenExchange,0.995307862653852,265882.9497820375,342662.43205736973,2871.037405364046
2021-05-25,12506581,TokenExchange,0.9958046675479216,273611.4840419193,344370.9480322093,4145.345008601957
2021-05-26,12513001,AddLiquidity,0.9967337026717432,299678.1910143816,344908.2318346759,5732.967737806633
2021-05-27,12519380,AddLiquidity,0.9969347608317368,301420.18738468084,345117.4104469662,18580.9634936017
2021-05-28,12525893,TokenExchange,0.9976369847806944,295062.9211938485,339643.8628034572,11179.279403247754
2021-05-29,12532346,RemoveLiquidityImbalance,0.9958824191625436,287220.29354376136,346441.1566556532,7613.354900156911
2021-05-30,12538767,TokenExchange,0.996713792004678,287547.634836659,346666.1188545257,2440.2368643121395
2021-05-31,12545128,AddLiquidity,0.9991909105384547,316657.4206847876,347179.9226952391,11685.594811092586
2021-06-01,12551678,AddLiquidity,0.9991178951961031,316739.24179078155,348542.8167839342,19528.03261601028
2021-06-02,12558193,AddLiquidity,0.9976732592793406,325224.2907256915,347978.96192472405,20944.358567001
2021-06-03,12564602,TokenExchange,0.9984164723633516,328791.40878027305,349025.2765107044,2462.5557782068204
2021-06-04,12571034,RemoveLiquidityOne,0.9999296045955034,330637.5104175379,349175.3513955057,2057.943315687989
2021-06-05,12577531,TokenExchange,0.9993917717717506,331835.2776894022,349594.76152977167,1416.367504231301
2021-06-06,12584067,TokenExchange,0.9996538841960704,336238.6703208528,349335.7521944943,1981.6969769067787
2021-06-07,12590502,AddLiquidity,0.9986776214097581,344264.69253805955,349976.7048742933,4438.797376701492
2021-06-08,12596896,RemoveLiquidityOne,0.9986380521071974,344753.37285381526,351127.9513976906,5488.337015175758
2021-06-09,12603360,AddLiquidity,0.9994058302379801,363041.72059358,355599.34813442227,12471.425820610464
2021-06-10,12609868,AddLiquidity,0.9992330720956716,362581.4985315551,358244.90722550184,2928.417504641819
2021-06-11,12616341,TokenExchange,1.0006931922355469,376727.2925887543,371161.51504127,3713.4604416547386
2021-06-12,12622732,AddLiquidity,1.0010856803477333,380368.05351594806,378738.5204700653,6276.6715677106195
2021-06-13,12629248,TokenExchange,1.0004997532208857,381426.285299345,379497.5128783816,2243.7056268637475
2021-06-14,12635606,AddLiquidity,1.000919099118491,381249.623046932,382844.7449759445,3632.7102337685874
2021-06-15,12642123,AddLiquidity,0.9975548206704056,355584.16512175783,382769.0706221199,16086.703509166027
2021-06-16,12648569,AddLiquidity,0.9987714912874628,381513.8388386991,397988.0928283963,12000.86671262597
2021-06-17,12655063,AddLiquidity,0.9980918660229016,375209.4818020008,392748.9808289845,22323.711381916153
2021-06-18,12661414,AddLiquidity,0.9994908260709542,391204.1691798229,393404.43981015537,11081.250943367435
2021-06-19,12667836,AddLiquidity,0.9998012594358414,398575.1489335232,394499.0539157263,5351.615973953804
2021-06-20,12674315,TokenExchange,0.9995264044804664,396140.64795604703,397630.3894212139,4953.920199705189
2021-06-21,12680580,TokenExchange,0.9994634332452254,395966.30938431394,398725.5950209491,5811.291210247749
2021-06-22,12687112,RemoveLiquidityOne,0.9974964848364165,378243.22614369466,408315.8550949206,14426.27565628797
2021-06-23,12693487,RemoveLiquidityOne,1.0001353479315889,389941.6184042085,407528.4632054954,5436.831187545728
2021-06-24,12699919,RemoveLiquidityOne,1.0007278293477262,401035.60088599415,406658.96565685526,8850.111436201167
2021-06-25,12706259,AddLiquidity,0.9986028511423928,399646.06581353856,407831.0385181058,2844.736275779576
2021-06-26,12712681,RemoveLiquidityOne,1.000610481387983,400472.9993156893,408526.33967578894,4849.449163255108
2021-06-27,12719162,TokenExchange,0.9983631061927052,382665.3672368513,407535.3737471269,11521.904106504731
2021-06-28,12725631,RemoveLiquidityOne,1.0007156307479719,400224.14449056593,406087.36750905926,16454.59642563334
2021-06-29,12731959,RemoveLiquidity,0.9992877005083564,412993.230606173,419603.5500583703,1194.666648406574
2021-06-30,12738476,AddLiquidity,0.9992168875510574,424557.4738838344,419882.68018409255,6878.047373108625
2021-07-01,12744846,AddLiquidity,0.9991962893021495,449674.0595510348,445190.2215681826,12580.112818759117
2021-07-02,12751279,AddLiquidity,0.9993381055827644,454196.4055484659,446423.27520867554,2130.4524677889667
2021-07-03,12757515,AddLiquidity,1.0012692934246945,455439.4760847268,449257.6943933699,2079.3096355780776
2021-07-04,12764160,AddLiquidity,1.0012983284289132,455368.84611888224,448524.4945034981,1375.0665665160261
2021-07-05,12770511,RemoveLiquidityOne,0.9992295066753616,455081.55659642,449396.2683346323,2446.4352997623314
2021-07-06,12776995,AddLiquidity,0.999804519762536,454258.4015338173,449594.0341262697,426.03588105054683
2021-07-07,12783339,AddLiquidity,1.0009575669328907,448914.2580802158,449909.32879626966,3485.8626833538815
2021-07-08,12789851,RemoveLiquidityOne,1.0006746916656344,448093.12810605735,455605.67232270713,3678.528605433101
2021-07-09,12796218,RemoveLiquidityOne,0.9984393254338321,448581.410954588,461603.5342347693,3259.3784835046968
2021-07-10,12802683,RemoveLiquidityOne,1.0004128339168536,448788.4796929138,462440.0004538265,1511.6035224931295
2021-07-11,12809115,TokenExchange,0.9983705257868372,442028.4528797604,470627.5113040592,9177.717777480671
