time,blocknumber,event,price,ETH_Pool,STETH_Pool,Volume
2021-04-09 03:00:00,12203373.0,AddLiquidity,0.9962354250460678,129680.51021282526,134648.380568106,155.0978538711124
2021-04-09 04:00:00,12203586.0,RemoveLiquidityImbalance,0.9961724589224163,129657.34958957096,134703.73878922354,55.14796190296019
2021-04-09 05:00:00,12203643.0,TokenExchange,0.9961122282589844,,,3.750193578402827
2021-04-09 06:00:00,12203994.0,AddLiquidity,0.9961122282589844,129631.72894174188,134707.501856873,3.190903802999681
2021-04-09 07:00:00,12204286.0,TokenExchange,0.9961183471095328,,,7.525334717159455
2021-04-09 08:00:00,12204700.0,AddLiquidity,0.9954632059631985,129650.4658741521,134759.34080579912,89.47162097824332
2021-04-09 09:00:00,12204978.0,RemoveLiquidityOne,0.9955294657685432,129740.46129503958,134759.3362107066,40.480644087898405
2021-04-09 10:00:00,12205155.0,TokenExchange,0.9959370191079528,129640.00847445296,134759.3362107066,117.6422503821284
2021-04-09 11:00:00,12205434.0,AddLiquidity,0.9967347634766892,129507.67480930056,134845.03320249388,3.5358865393007526
2021-04-09 12:00:00,12205772.0,TokenExchange,0.9954819732932974,128878.51130475212,134849.76017412377,329.61849939189176
2021-04-09 13:00:00,12205868.0,TokenExchange,0.9954738506452916,,,7.898137302588998
2021-04-09 14:00:00,12206260.0,TokenExchange,0.9954722010327612,128890.24788109952,134886.88595657618,2.314941166861962
2021-04-09 15:00:00,12206425.0,AddLiquidity,0.9948722767622159,128888.83243082918,134889.21138088524,1.169759640930132
2021-04-09 16:00:00,12206425.0,AddLiquidity,0.9948722767622159,,,0.0
2021-04-09 17:00:00,12206425.0,AddLiquidity,0.9948722767622159,,,0.0
2021-04-09 18:00:00,12207305.0,AddLiquidity,0.9954722010327612,128911.14553500898,134889.210237391,10.109045217887925
2021-04-09 19:00:00,12207544.0,RemoveLiquidityOne,0.9965627954547385,131812.76931642505,134889.12365363244,506.4731831988493
2021-04-09 20:00:00,12207933.0,RemoveLiquidityOne,0.9961044542383727,130804.94640738129,134995.88306246718,102.54790895415618
2021-04-09 21:00:00,12208177.0,TokenExchange,0.9966717275460644,130704.42661132144,134995.88306246718,18.083469454906645
2021-04-09 22:00:00,12208177.0,TokenExchange,0.9966717275460644,,,0.0
2021-04-09 23:00:00,12208710.0,TokenExchange,0.9966494618219046,,,14.466452375030434
2021-04-10 00:00:00,12209041.0,TokenExchange,0.9977043824534346,131058.24899095664,135028.5223485011,185.8312006923343
2021-04-10 01:00:00,12209242.0,AddLiquidity,0.9983963818672359,131203.33872423563,135024.8058297185,69.32993836246875
2021-04-10 02:00:00,12209380.0,AddLiquidity,0.9963622561895182,131203.33793673557,135040.80504015554,32.610480354163265
2021-04-10 03:00:00,12209677.0,RemoveLiquidityOne,0.9963966311994935,131270.22148221396,135040.80164315796,50.898023646303926
